"filename", "language", "Markdown", "Makefile", "Go Module File", "Go", "Go Checksum File", "YAML", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\Readme.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 7, 15
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\dkg\DKG\dkg.go", "Go", 0, 0, 0, 308, 0, 0, 35, 52, 395
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\dkg\Makefile", "Makefile", 0, 7, 0, 0, 0, 0, 0, 3, 10
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\dkg\config\config.yml", "YAML", 0, 0, 0, 0, 0, 13, 0, 1, 14
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\dkg\config\initConfig.go", "Go", 0, 0, 0, 58, 0, 0, 4, 14, 76
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\dkg\config\readConfig.go", "Go", 0, 0, 0, 37, 0, 0, 8, 15, 60
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\dkg\config\writeConfig.go", "Go", 0, 0, 0, 26, 0, 0, 4, 8, 38
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\dkg\crypto\binaryquadraticform\README.md", "Markdown", 67, 0, 0, 0, 0, 0, 0, 26, 93
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\dkg\crypto\binaryquadraticform\binaryquadratic.go", "Go", 0, 0, 0, 560, 0, 0, 86, 44, 690
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\dkg\crypto\binaryquadraticform\guide.go", "Go", 0, 0, 0, 29, 0, 0, 2, 9, 40
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\dkg\go.mod", "Go Module File", 0, 0, 31, 0, 0, 0, 0, 4, 35
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\dkg\go.sum", "Go Checksum File", 0, 0, 0, 0, 508, 0, 0, 1, 509
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\dkg\main.go", "Go", 0, 0, 0, 307, 0, 0, 8, 57, 372
"\\wsl.localhost\Ubuntu-22.04\home\psyduck\RandomnessBeacon3.0\dkg\msg\errSetupMsgpb\errSetupMsg.pb.go", "Go", 0, 0, 0, 218, 0, 0, 9, 29, 256
